"blockNum","color","hit","initrt","intervalLength","intervalNum","intervalType","moneyEarned","phase","platform","question","rating","response","rt","sessionNum","stimOn","trialNum","type","uniqueid","word"
1,"blue",1,NA,8000,2,"hard",0,"MainBlock","PROLIFIC",NA,NA,"blue",612,0,1606161774240,3,"congruent","5e651a304eb006294c9164ea:TSS-Stress_20201122","BLUE"
1,"yellow",1,NA,8000,2,"hard",0,"MainBlock","PROLIFIC",NA,NA,"yellow",751,0,1606161774857,4,"incongruent","5e651a304eb006294c9164ea:TSS-Stress_20201122","RED"
1,"blue",1,NA,8000,2,"hard",0,"MainBlock","PROLIFIC",NA,NA,"blue",509,0,1606161775611,5,"incongruent","5e651a304eb006294c9164ea:TSS-Stress_20201122","GREEN"
1,"yellow",1,NA,8000,2,"hard",0,"MainBlock","PROLIFIC",NA,NA,"yellow",477,0,1606161776123,6,"congruent","5e651a304eb006294c9164ea:TSS-Stress_20201122","YELLOW"
1,"red",1,NA,8000,2,"hard",0,"MainBlock","PROLIFIC",NA,NA,"red",500,0,1606161776604,7,"congruent","5e651a304eb006294c9164ea:TSS-Stress_20201122","RED"
1,"yellow",1,NA,8000,2,"hard",0,"MainBlock","PROLIFIC",NA,NA,"yellow",681,0,1606161777107,8,"incongruent","5e651a304eb006294c9164ea:TSS-Stress_20201122","GREEN"
1,"blue",0,NA,8000,2,"hard",0,"MainBlock","PROLIFIC",NA,NA,"red",476,0,1606161777792,9,"congruent","5e651a304eb006294c9164ea:TSS-Stress_20201122","BLUE"
1,"red",1,NA,8000,2,"hard",0,"MainBlock","PROLIFIC",NA,NA,"red",712,0,1606161778272,10,"incongruent","5e651a304eb006294c9164ea:TSS-Stress_20201122","YELLOW"
1,"green",1,NA,8000,2,"hard",0,"MainBlock","PROLIFIC",NA,NA,"green",576,0,1606161778988,11,"congruent","5e651a304eb006294c9164ea:TSS-Stress_20201122","GREEN"
1,"blue",0,NA,8000,2,"hard",0,"MainBlock","PROLIFIC",NA,NA,"yellow",627,0,1606161779569,12,"incongruent","5e651a304eb006294c9164ea:TSS-Stress_20201122","RED"
1,"",NA,NA,8000,2,"hard",0,"MainBlock","PROLIFIC",1,5.1,"",NA,0,NA,NA,"","5e651a304eb006294c9164ea:TSS-Stress_20201122",""
1,"blue",1,NA,8000,3,"hard",0,"MainBlock","PROLIFIC",NA,NA,"blue",603,0,1606161787925,1,"congruent","5e651a304eb006294c9164ea:TSS-Stress_20201122","BLUE"
1,"green",0,NA,8000,3,"hard",0,"MainBlock","PROLIFIC",NA,NA,"yellow",836,0,1606161788532,2,"incongruent","5e651a304eb006294c9164ea:TSS-Stress_20201122","YELLOW"
1,"red",1,NA,8000,3,"hard",0,"MainBlock","PROLIFIC",NA,NA,"red",1035,0,1606161789373,3,"congruent","5e651a304eb006294c9164ea:TSS-Stress_20201122","RED"
1,"yellow",1,NA,8000,3,"hard",0,"MainBlock","PROLIFIC",NA,NA,"yellow",496,0,1606161790412,4,"incongruent","5e651a304eb006294c9164ea:TSS-Stress_20201122","BLUE"
1,"green",1,NA,8000,3,"hard",0,"MainBlock","PROLIFIC",NA,NA,"green",682,0,1606161790911,5,"congruent","5e651a304eb006294c9164ea:TSS-Stress_20201122","GREEN"
1,"red",1,NA,8000,3,"hard",0,"MainBlock","PROLIFIC",NA,NA,"red",783,0,1606161791596,6,"incongruent","5e651a304eb006294c9164ea:TSS-Stress_20201122","BLUE"
1,"green",1,NA,8000,3,"hard",0,"MainBlock","PROLIFIC",NA,NA,"green",741,0,1606161792382,7,"congruent","5e651a304eb006294c9164ea:TSS-Stress_20201122","GREEN"
1,"red",1,NA,8000,3,"hard",0,"MainBlock","PROLIFIC",NA,NA,"red",1287,0,1606161793128,8,"incongruent","5e651a304eb006294c9164ea:TSS-Stress_20201122","BLUE"
1,"green",1,NA,8000,3,"hard",0,"MainBlock","PROLIFIC",NA,NA,"green",705,0,1606161794418,9,"incongruent","5e651a304eb006294c9164ea:TSS-Stress_20201122","YELLOW"
1,"red",1,NA,8000,3,"hard",0,"MainBlock","PROLIFIC",NA,NA,"red",500,0,1606161795127,10,"congruent","5e651a304eb006294c9164ea:TSS-Stress_20201122","RED"
1,"",NA,NA,8000,3,"hard",0.018,"MainBlock","PROLIFIC",0,1.5,"",NA,0,NA,NA,"","5e651a304eb006294c9164ea:TSS-Stress_20201122",""
1,"yellow",1,NA,8000,4,"hard",0,"MainBlock","PROLIFIC",NA,NA,"yellow",1126,0,1606161806297,1,"incongruent","5e651a304eb006294c9164ea:TSS-Stress_20201122","GREEN"
1,"blue",1,NA,8000,4,"hard",0,"MainBlock","PROLIFIC",NA,NA,"blue",657,0,1606161807426,2,"congruent","5e651a304eb006294c9164ea:TSS-Stress_20201122","BLUE"
1,"red",1,NA,8000,4,"hard",0,"MainBlock","PROLIFIC",NA,NA,"red",717,0,1606161808086,3,"incongruent","5e651a304eb006294c9164ea:TSS-Stress_20201122","YELLOW"
1,"green",1,NA,8000,4,"hard",0,"MainBlock","PROLIFIC",NA,NA,"green",717,0,1606161808806,4,"congruent","5e651a304eb006294c9164ea:TSS-Stress_20201122","GREEN"
